,"Population at 30 Jun 2022 ('000)","Change over previous year ('000)","Change over previous year (%)"
"New South Wales","8153.6","59.8","0.7"
"Victoria","6613.7","65.7","1.0"
"Queensland","5322.1","104.4","2.0"
"South Australia","1820.5","17.3","1.0"
"Western Australia","2785.3","35.4","1.3"
"Tasmania","571.5","3.6","0.6"
"Northern Territory","250.6","1.4","0.6"
"Australian Capital Territory","456.7","3.1","0.7"
"Australia (a)","25978.9","290.9","1.1"

"a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island."

"Source: Australian Bureau of Statistics, National, state and territory population June 2022"
