"job_title","job_link","area","industry","date_posted","search_term","salary","state","salary_annual","weekday"
"VCE Applied Computing and Data Analytics Teacher","/job/67928547?type=promoted","Melbourne VIC","(Education & Training)",NA,"data-scientist",NA,"VIC",NA,NA
"Environmental Scientists","/job/68290153?type=promoted","Perth WA","(Consulting & Strategy)",NA,"data-scientist",NA,"WA",NA,NA
"Graduate Data Scientist","/job/68331945?type=standout","Melbourne VIC","(Science & Technology)",2023-06-23 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Research Data Scientist","/job/68239454?type=standout","Sydney NSW","(Science & Technology)",2023-06-20 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Data Scientist","/job/68252684?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"QLD",NA,"Tuesday"
"Research Data Scientist","/job/68239453?type=standout","Melbourne VIC","(Science & Technology)",2023-06-20 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Data Scientist","/job/68141809?type=standout","Sydney NSW","(Science & Technology)",2023-06-14 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Valuation Data Scientist","/job/68272875?type=standard","Sydney NSW","(Consulting & Strategy)",2023-06-21 19:35:00,"data-scientist","Salary ranges from $101,947 to $112,849 + super","NSW",101947,"Wednesday"
"Data Scientist","/job/68189807?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist","VPS4 $91,418.00 - $103,725.00","VIC",91418,"Friday"
"Senior Machine Learning Engineer (multiple Roles)","/job/68336318?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-24 05:35:00,"data-scientist",NA,"NSW",NA,"Saturday"
"Senior Data Scientist/Analyst","/job/68322541?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist","$140k-$180k Package DOE","VIC",140,"Friday"
"Pricing Data Scientist - Brisbane","/job/68227855?type=standout","Brisbane QLD","(Insurance & Superannuation)",2023-06-19 19:35:00,"data-scientist",NA,"QLD",NA,"Monday"
"Early Career Data Scientist","/job/68240134?type=standard","Melbourne VIC","(Consulting & Strategy)",2023-06-20 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Data Scientist","/job/68192416?type=standout","Adelaide SA","(Mining, Resources & Energy)",2023-06-16 19:35:00,"data-scientist","ASO6, $95,588 - $101,109 per annum","SA",95588,"Friday"
"2023/2223 - EL 1 - Ecologist/Data Scientist","/job/68269302?type=standout","Darwin NT","(Science & Technology)",2023-06-21 19:35:00,"data-scientist",NA,"NT",NA,"Wednesday"
"Data Science Lead Trainer","/job/68317787?type=standout","Sydney NSW","(Science & Technology)",2023-06-23 19:35:00,"data-scientist","$20,000 per project, equiv $83 per hour","NSW",20000,"Friday"
"2023/2222 - Research Scientist - (APS 6 - EL 1) - Ecologist/Data Scientist","/job/68269141?type=standout","Darwin NT","(Science & Technology)",2023-06-21 19:35:00,"data-scientist",NA,"NT",NA,"Wednesday"
"Assistant Trainer Data Science","/job/68248078?type=standout","Perth WA","(Science & Technology)",2023-06-20 19:35:00,"data-scientist",NA,"WA",NA,"Tuesday"
"Data Analyst","/job/68310888?type=standout","Blue Mountains & Central West NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Senior Data Scientist","/job/68222933?type=standout","Melbourne VIC","(Accounting)",2023-06-19 19:35:00,"data-scientist","VPS4.1 - $91,418 - $103,725 + super","VIC",91418,"Monday"
"Senior Data Scientist :: Long Term Day Rate Contract","/job/67773018?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-13 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Data Engineer","/job/68312713?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Early Career Hydrogeologist/Environmental Scientists","/job/68239048?type=promoted","Brisbane QLD","(Science & Technology)",NA,"data-scientist",NA,"QLD",NA,NA
"Senior Data Scientist","/job/68190924?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Business Development Manager - Data Science","/job/68314882?type=standout","Sydney NSW","(Science & Technology)",2023-06-23 19:35:00,"data-scientist","Senior Appointment","NSW",NA,"Friday"
"Data Engineer","/job/68266922?type=standout","Adelaide SA","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist","$130k - $140k p.a.","SA",130,"Wednesday"
"Data Engineer","/job/68328397?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Data Engineer","/job/68326136?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist","Up to $900 p.d.","NSW",900,"Friday"
"Principal Data Scientist","/job/68042269?type=standout","Sydney NSW","(Science & Technology)",2023-06-09 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Principal Data Scientist","/job/68042271?type=standout","Melbourne VIC","(Science & Technology)",2023-06-09 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Data Engineer","/job/68253408?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist","$115,000 – $140,000 per year","NSW",115000,"Tuesday"
"Data Engineer","/job/68282128?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Data Engineer","/job/68321349?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Research Associate Ice sheet modelling and data science","/job/68335688?type=standout","Hobart TAS","(Science & Technology)",2023-06-24 00:35:00,"data-scientist","Great staff benefits including 17% super","TAS",NA,"Saturday"
"Machine Learning Engineer","/job/68155248?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist","Up to 130k + super","NSW",NA,"Thursday"
"Lead Data Modeler","/job/68302282?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Junior Data Engineer","/job/68311799?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Data Engineer - AWS, Matillion, SQL","/job/68325949?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist","$800 - $950 p.d. + + Super + WFH Flex","NSW",800,"Friday"
"Principal Data Scientist - (Recommendations)","/job/67988269?type=standout","Brisbane QLD","(Science & Technology)",2023-06-07 19:35:00,"data-scientist",NA,"QLD",NA,"Wednesday"
"Data Engineer","/job/68293053?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist","$1000 -$1200","VIC",1000,"Thursday"
"PHI Data Engineer","/job/68282781?type=standout","Perth WA","(Engineering)",2023-06-21 19:35:00,"data-scientist",NA,"WA",NA,"Wednesday"
"Data Scientist (Deep Learning)","/job/67999721?type=standard","Canberra ACT","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"ACT",NA,"Wednesday"
"Data Engineer - Contract","/job/68294093?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"GCP Database Engineer","/job/68314764?type=promoted","Melbourne VIC","(Information & Communication Technology)",NA,"data-scientist",NA,"VIC",NA,NA
"Early Career Hydrogeologist/Environmental Scientists","/job/68239909?type=promoted","Adelaide SA","(Science & Technology)",NA,"data-scientist",NA,"SA",NA,NA
"Data Engineer","/job/68325832?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Data Engineer / Analyst - SQL - Growing team in successful company - Adelaide","/job/68245170?type=standard","Adelaide SA","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"SA",NA,"Tuesday"
"Data Engineer - Immediate Start (Long term project) x5 roles","/job/68286730?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
